YCSB Client 0.1
Command line: -load -db com.yahoo.ycsb.db.MapKeeperClient -P workloads/workloada -p measurementtype=timeseries -p timeseries.granularity=2000 -s
 0 sec: 0 operations; 
 2090 sec: 7759419 operations; 3462.06 current ops/sec;  
 2100 sec: 7795744 operations; 3631.77 current ops/sec;  
 2110 sec: 7830240 operations; 3448.57 current ops/sec; [INSERT AverageLatency(ms)=60] 
 2120 sec: 7866206 operations; 3595.52 current ops/sec;  
 2130 sec: 7900557 operations; 3434.07 current ops/sec;  
 2140 sec: 7935042 operations; 3447.81 current ops/sec;  
 2150 sec: 7970550 operations; 3549.74 current ops/sec;  
 2160 sec: 8003561 operations; 3300.11 current ops/sec;  
 2170 sec: 8038049 operations; 3448.11 current ops/sec;  
 2180 sec: 8072761 operations; 3470.16 current ops/sec;  
 2190 sec: 8092028 operations; 1926.12 current ops/sec;  
 2200 sec: 8117640 operations; 2560.43 current ops/sec; [INSERT AverageLatency(ms)=91] 
 2210 sec: 8155371 operations; 3772.35 current ops/sec;  
 2220 sec: 8189843 operations; 3446.17 current ops/sec; [INSERT AverageLatency(ms)=47] 
 2230 sec: 8224168 operations; 3431.81 current ops/sec;  
 2240 sec: 8258376 operations; 3419.77 current ops/sec;  
 2250 sec: 8292717 operations; 3433.07 current ops/sec; [INSERT AverageLatency(ms)=17] 
 2260 sec: 8325909 operations; 3317.87 current ops/sec;  
 2270 sec: 8361233 operations; 3531.69 current ops/sec;  
 2280 sec: 8396630 operations; 3538.64 current ops/sec; [INSERT AverageLatency(ms)=7] 
 2290 sec: 8431805 operations; 3516.8 current ops/sec;  
 2300 sec: 8465867 operations; 3405.18 current ops/sec;  
 2310 sec: 8500067 operations; 3418.97 current ops/sec;  
 2320 sec: 8534480 operations; 3440.27 current ops/sec; [INSERT AverageLatency(ms)=40.33] 
 2330 sec: 8568059 operations; 3357.23 current ops/sec;  
 2340 sec: 8602859 operations; 3478.96 current ops/sec;  
 2350 sec: 8638439 operations; 3556.93 current ops/sec;  
 2360 sec: 8672020 operations; 3357.43 current ops/sec; [INSERT AverageLatency(ms)=29.25] 
 2370 sec: 8706984 operations; 3495.35 current ops/sec;  
 2380 sec: 8726500 operations; 1951.01 current ops/sec;  
 2390 sec: 8755775 operations; 2926.91 current ops/sec;  
 2400 sec: 8792638 operations; 3685.19 current ops/sec;  
 2410 sec: 8830245 operations; 3759.57 current ops/sec;  
 2420 sec: 8865158 operations; 3490.6 current ops/sec;  
 2430 sec: 8901154 operations; 3598.52 current ops/sec; [INSERT AverageLatency(ms)=18.8] 
 2440 sec: 8937432 operations; 3626.71 current ops/sec;  
 2450 sec: 8972868 operations; 3542.89 current ops/sec;  
 2460 sec: 9006095 operations; 3321.7 current ops/sec;  
 2470 sec: 9040339 operations; 3423.37 current ops/sec;  
 2480 sec: 9075189 operations; 3483.95 current ops/sec;  
 2490 sec: 9109932 operations; 3473.61 current ops/sec;  
 2500 sec: 9144878 operations; 3493.55 current ops/sec;  
 2510 sec: 9164506 operations; 1962.21 current ops/sec;  
 2520 sec: 9188065 operations; 2355.43 current ops/sec;  
 2530 sec: 9222989 operations; 3491.35 current ops/sec;  
 2540 sec: 9256851 operations; 3385.18 current ops/sec;  
 2550 sec: 9290210 operations; 3335.23 current ops/sec;  
 2560 sec: 9325921 operations; 3570.03 current ops/sec;  
 2570 sec: 9362610 operations; 3667.8 current ops/sec;  
 2580 sec: 9396388 operations; 3377.12 current ops/sec; [INSERT AverageLatency(ms)=29.67] 
 2590 sec: 9431715 operations; 3531.64 current ops/sec;  
 2600 sec: 9465922 operations; 3419.67 current ops/sec;  
 2610 sec: 9499507 operations; 3357.83 current ops/sec; [INSERT AverageLatency(ms)=2] 
 2620 sec: 9534290 operations; 3477.26 current ops/sec;  
 2630 sec: 9568298 operations; 3399.78 current ops/sec;  
 2640 sec: 9603262 operations; 3495.7 current ops/sec;  
 2650 sec: 9638353 operations; 3508.05 current ops/sec;  
 2660 sec: 9671770 operations; 3340.7 current ops/sec;  
 2670 sec: 9707923 operations; 3614.22 current ops/sec;  
 2680 sec: 9744068 operations; 3613.78 current ops/sec;  
 2690 sec: 9780829 operations; 3675 current ops/sec;  
