YCSB Client 0.1
Command line: -load -db com.yahoo.ycsb.db.MapKeeperClient -P workloads/workloada -p measurementtype=timeseries -p timeseries.granularity=2000 -s
 0 sec: 0 operations; 
[INSERT], 508000, 19.943873262204978
[INSERT], 510000, 10.165251436416332
[INSERT], 512000, 10.512057708508847
[INSERT], 514000, 11.063801579848644
[INSERT], 516000, 11.000165070980522
[INSERT], 518000, 10.9214164708454
[INSERT], 520000, 42.25100359180224
[INSERT], 522000, 10.578717478002153
[INSERT], 524000, 21.67759359284783
[INSERT], 526000, 11.015376136676771
[INSERT], 528000, 11.039030584078613
[INSERT], 530000, 10.935649794801641
[INSERT], 532000, 10.682056214598695
[INSERT], 534000, 10.823894238615962
[INSERT], 536000, 10.647131021785825
[INSERT], 538000, 17.02641044085911
[INSERT], 540000, 36.95673076923077
[INSERT], 542000, 10.787602503236945
[INSERT], 544000, 9.95866533864542
[INSERT], 546000, 11.393011855905153
[INSERT], 548000, 11.359829545454545
[INSERT], 550000, 10.809451714069429
[INSERT], 552000, 10.737764852513502
[INSERT], 554000, 20.97582519758252
[INSERT], 556000, 24.253497409326425
[INSERT], 558000, 12.501058201058202
[INSERT], 560000, 10.845953569103926
[INSERT], 562000, 10.815065525831258
[INSERT], 564000, 10.888368036629238
[INSERT], 566000, 10.862989130434782
[INSERT], 568000, 10.823776223776223
[INSERT], 570000, 56.39158929546696
[INSERT], 572000, 12.076685817961899
[INSERT], 574000, 16.866441821247893
[INSERT], 576000, 9.136481980541726
[INSERT], 578000, 9.57545669253386
[INSERT], 580000, 9.45869012891691
[INSERT], 582000, 9.44235708170836
[INSERT], 584000, 9.887210638647185
[INSERT], 586000, 20.326337120937975
[INSERT], 588000, 24.434861870705372
[INSERT], 590000, 12.294498910675381
[INSERT], 592000, 9.859940799210657
[INSERT], 594000, 9.534090366906819
[INSERT], 596000, 9.560436405397645
[INSERT], 598000, 13.416470904087523
[INSERT], 600000, 10.605068226120858
[INSERT], 602000, 21.094571908226076
[INSERT], 604000, 16.816507633587786
[INSERT], 606000, 14.48845804694592
[INSERT], 608000, 11.241954640574628
[INSERT], 610000, 11.033552631578948
[INSERT], 612000, 10.75277030661646
[INSERT], 614000, 11.004458388375165
[INSERT], 616000, 11.344774764552366
[INSERT], 618000, 7.939051918735892
[INSERT], 738000, 710.9097691769643
[INSERT], 740000, 48.279890560875515
[INSERT], 742000, 14.070911266452548
[INSERT], 744000, 10.937383790878268
[INSERT], 746000, 10.669388408581492
[INSERT], 748000, 10.325173019316185
[INSERT], 750000, 9.961059034702831
[INSERT], 752000, 10.529169526424159
[INSERT], 754000, 29.955676516329703
[INSERT], 756000, 8.683609874544718
[INSERT], 758000, 21.263613231552164
[INSERT], 760000, 9.966543677702433
[INSERT], 762000, 9.735011932011883
[INSERT], 764000, 9.848302704833227
[INSERT], 766000, 10.051229199135287
[INSERT], 768000, 11.069455894476505
[INSERT], 814000, 380.9144358679586
[INSERT], 816000, 25.367363344051448
[INSERT], 818000, 32.77374649641856
[INSERT], 820000, 10.773216979099333
[INSERT], 822000, 10.402593344789876
[INSERT], 824000, 10.252281349328412
[INSERT], 826000, 9.443163564206747
[INSERT], 828000, 10.600965107646623
[INSERT], 830000, 10.976371162469817
[INSERT], 832000, 17.35925325524238
[INSERT], 834000, 36.97953269335265
[INSERT], 836000, 10.023310607579708
[INSERT], 838000, 11.25237693389592
[INSERT], 840000, 9.594775008404168
[INSERT], 842000, 11.038319253492352
[INSERT], 844000, 10.996149614961496
[INSERT], 846000, 11.277949989667286
[INSERT], 848000, 20.433431744692815
[INSERT], 850000, 28.487752776986614
[INSERT], 852000, 12.002342623738587
[INSERT], 854000, 10.31888321205553
[INSERT], 856000, 10.294066137838673
[INSERT], 858000, 9.88509670079636
[INSERT], 860000, 11.023334441857887
[INSERT], 862000, 11.366636178146766
[INSERT], 918000, 810.2591954022988
[INSERT], 920000, 12.926794055201698
[INSERT], 922000, 275.5417130144605
[INSERT], 924000, 10.943230962938632
